S.No.,Name of the Organisation,Website
1,"Indian Institute of Technology (IIT), Gandhi Nagar",http://www.iitgn.ac.in/
2,"Indian Institute of Technology (IIT), Bhubaneshwar",http://www.iitbbs.ac.in/
3,"Indian Institute of Technology (IIT), Madras",http://www.iitm.ac.in/
4,"Indian Institute of Technology (IIT), Guwahati",http://www.iitg.ernet.in/
5,"Indian Institute of Technology (IIT), Indore",http://www.iiti.ac.in/
6,"Indian Institute of Technology (IIT), Kanpur",http://www.iitk.ac.in/
7,"Indian Institute of Technology (IIT), Jodhpur",http://www.iitj.ac.in/
8,"Indian Institute of Technology (IIT), Kharagpur ",http://www.iitkgp.ac.in/ 
9,"Indian Institute of Technology (IIT), Hyderabad",http://www.iith.ac.in
10,"Indian Institute of Technology (IIT), Mumbai ",http://www.iitb.ac.in/
11,"Indian Institute of Technology (IIT), Patna",http://www.iitp.ac.in/
12,"Indian Institute of Technology (IIT), Delhi",http://www.iitd.ac.in/ 
13,"Indian Institute of Technology (IIT), Ropar",http://www.iitrpr.ac.in/
14,"Indian Institute of Technology (IIT), Mandi",http://www.iitmandi.ac.in/
15,"Indian Institute of Technology (IIT), Roorkee",http://www.iitr.ernet.in/
16,"Indian Institute of Technology (Banaras Hindu University), Varanasi",http://iitbhu.ac.in 
17,"Indian Institute of Technology (IIT), Jammu",http://iitjammu.ac.in
18,"Indian Institute of Technology (IIT), Palakkad",http://iitpkd.ac.in
19,"Indian Institute of Technology (IIT), Tirupati",http://iittp.ac.in/ 
20,"Indian Institute of Technology (IIT), Goa",http://www.iitgoa.ac.in
21,"Indian Institute of Technology (IIT), Bhilai",https://www.iitbhilai.ac.in/ 
22,Indian Institute of Technology (IIT) Dharwad,http://www.iitdh.ac.in/ 
23,"Indian Institute of Technology (Indian School of Mines), Dhanbad",http://iitism.ac.in/
